crop,category,N,P,K,temperature,humidity,ph,rainfall,soil_type,season,water_avail,state
banana,horticulture,91.0,58.0,101.0,21.3,94.6,5.7,129.8,red,kharif,rainfed,Tamil Nadu
chickpea,pulse,41.0,71.0,32.0,21.4,63.4,7.63,50.1,alluvial,rabi,rainfed,Uttar Pradesh
blackgram,pulse,21.0,43.0,19.0,26.2,65.9,6.42,102.8,red,kharif,rainfed,Maharashtra
cardamom,spice,29.0,29.0,64.0,15.7,87.6,5.89,406.3,laterite,kharif,irrigated,Tamil Nadu
sunflower,oilseed,94.0,84.0,76.0,25.8,59.9,7.65,95.5,loamy,kharif,irrigated,Karnataka
sesame,oilseed,37.0,41.0,20.0,29.3,48.1,5.9,53.5,loamy,kharif,rainfed,Rajasthan
onion,vegetable,49.0,53.0,59.0,19.9,54.8,6.29,96.4,alluvial,kharif,rainfed,Karnataka
mango,horticulture,23.0,35.0,65.0,38.6,36.9,6.77,110.6,loamy,kharif,rainfed,Andhra Pradesh
cardamom,spice,30.0,24.0,52.0,22.6,77.2,5.33,286.6,red,kharif,rainfed,Tamil Nadu
blackgram,pulse,23.0,32.0,38.0,23.4,91.0,6.35,79.0,loamy,kharif,rainfed,Madhya Pradesh
onion,vegetable,58.0,58.0,38.0,29.9,64.5,6.1,71.6,black,kharif,irrigated,Rajasthan
coconut,plantation,29.0,31.0,70.0,33.1,78.8,5.85,221.4,loamy,kharif,rainfed,Kerala
kidneybeans,pulse,42.0,81.0,38.0,22.7,64.0,6.5,77.4,alluvial,kharif,rainfed,Karnataka
jute,cash,76.0,35.0,54.0,29.3,87.3,7.31,230.0,alluvial,kharif,rainfed,Assam
ragi,millet,58.0,34.0,28.0,28.6,73.4,6.09,73.3,loamy,kharif,rainfed,Tamil Nadu
tomato,vegetable,74.0,62.0,72.0,28.5,53.0,6.69,119.8,red,rabi,rainfed,Andhra Pradesh
sapota,horticulture,28.0,28.0,31.0,24.4,59.0,7.52,175.0,laterite,kharif,irrigated,Maharashtra
blackgram,pulse,30.0,31.0,41.0,30.3,73.9,7.48,84.8,loamy,rabi,irrigated,Madhya Pradesh
rose,flower,41.0,43.0,64.0,19.1,73.3,5.68,91.7,alluvial,rabi,rainfed,Himachal Pradesh
wheat,cereal,162.0,53.0,45.0,11.0,55.7,6.44,73.6,alluvial,rabi,rainfed,Punjab
brinjal,vegetable,45.0,32.0,74.0,26.4,55.1,6.82,102.6,sandy,rabi,irrigated,Gujarat
bajra,millet,55.0,19.0,45.0,38.5,41.7,6.56,64.9,red,kharif,irrigated,Maharashtra
cotton,cash,90.0,57.0,66.0,19.7,70.9,7.77,73.1,loamy,kharif,irrigated,Gujarat
sunflower,oilseed,81.0,76.0,84.0,25.9,62.7,7.86,107.2,alluvial,kharif,irrigated,Bihar
tomato,vegetable,71.0,42.0,83.0,20.9,65.5,6.92,122.3,red,rabi,irrigated,Karnataka
ginger,spice,61.0,32.0,46.0,26.6,65.3,5.73,116.4,laterite,kharif,rainfed,Karnataka
blackgram,pulse,30.0,30.0,35.0,32.8,81.7,6.86,80.3,alluvial,kharif,rainfed,Madhya Pradesh
blackgram,pulse,25.0,29.0,35.0,34.2,84.8,7.38,66.0,red,kharif,irrigated,Uttar Pradesh
ragi,millet,73.0,46.0,43.0,18.0,58.0,5.96,85.9,laterite,kharif,rainfed,Uttarakhand
lentil,pulse,22.0,30.0,38.0,20.3,42.8,6.6,74.8,alluvial,rabi,irrigated,Bihar
barley,cereal,92.0,54.0,43.0,10.3,61.1,7.43,53.5,loamy,rabi,rainfed,Madhya Pradesh
watermelon,horticulture,54.0,49.0,68.0,38.2,64.8,6.58,80.5,sandy,kharif,irrigated,Karnataka
rice,cereal,143.0,42.0,36.0,37.8,81.1,5.64,146.8,loamy,kharif,rainfed,Punjab
tapioca,horticulture,61.0,55.0,125.0,25.8,79.4,6.59,208.6,red,kharif,irrigated,Maharashtra
chickpea,pulse,22.0,70.0,36.0,15.6,55.2,7.18,50.6,loamy,rabi,irrigated,Madhya Pradesh
apple,horticulture,38.0,26.0,22.0,7.7,82.3,6.21,152.6,alluvial,rabi,irrigated,Uttarakhand
pigeonpeas,pulse,28.0,44.0,42.0,30.6,48.7,6.23,109.6,red,kharif,rainfed,Karnataka
muskmelon,horticulture,45.0,44.0,43.0,36.6,68.4,6.35,70.2,sandy,zaid,irrigated,Punjab
ragi,millet,77.0,44.0,51.0,21.1,84.5,6.36,95.1,red,kharif,rainfed,Odisha
tobacco,cash,42.0,39.0,59.0,31.7,67.4,7.29,84.7,sandy,rabi,irrigated,Karnataka
sapota,horticulture,31.0,26.0,30.0,22.9,63.4,7.61,186.6,loamy,kharif,rainfed,Tamil Nadu
cotton,cash,71.0,48.0,51.0,26.4,84.7,6.5,79.8,loamy,kharif,rainfed,Gujarat
guava,horticulture,44.0,28.0,38.0,21.2,63.7,5.53,125.2,loamy,kharif,rainfed,Karnataka
cowpea,pulse,16.0,33.0,38.0,24.1,63.1,7.4,77.5,loamy,kharif,irrigated,Karnataka
banana,horticulture,80.0,62.0,101.0,22.9,71.6,6.64,209.9,alluvial,kharif,rainfed,Andhra Pradesh
pomegranate,horticulture,38.0,28.0,19.0,16.8,42.0,8.06,68.7,loamy,kharif,irrigated,Rajasthan
chilli,spice,57.0,70.0,63.0,21.8,59.6,6.82,89.6,loamy,rabi,irrigated,Andhra Pradesh
kidneybeans,pulse,38.0,53.0,57.0,27.9,62.3,7.08,83.5,loamy,kharif,irrigated,Himachal Pradesh
rice,cereal,105.0,63.0,49.0,29.6,65.7,5.62,260.3,alluvial,kharif,rainfed,Punjab
wheat,cereal,161.0,78.0,43.0,18.0,56.7,6.86,75.0,alluvial,rabi,irrigated,Rajasthan
watermelon,horticulture,54.0,53.0,70.0,28.6,78.0,6.27,86.0,sandy,kharif,rainfed,Andhra Pradesh
tapioca,horticulture,105.0,58.0,140.0,30.2,82.6,7.34,196.6,red,kharif,rainfed,Maharashtra
jowar,millet,51.0,33.0,53.0,30.6,61.1,7.63,46.5,loamy,kharif,rainfed,Madhya Pradesh
onion,vegetable,56.0,40.0,60.0,21.4,75.2,7.17,90.4,loamy,rabi,rainfed,Madhya Pradesh
cotton,cash,71.0,33.0,75.0,26.9,71.3,6.54,101.1,black,kharif,rainfed,Maharashtra
jowar,millet,86.0,28.0,52.0,37.7,34.1,6.47,59.4,loamy,kharif,rainfed,Karnataka
cauliflower,vegetable,74.0,73.0,48.0,22.5,85.2,7.35,84.1,alluvial,rabi,rainfed,West Bengal
guava,horticulture,47.0,22.0,45.0,31.4,72.0,6.59,109.2,alluvial,kharif,irrigated,Andhra Pradesh
ragi,millet,64.0,26.0,56.0,22.8,68.9,5.94,107.1,loamy,kharif,rainfed,Karnataka
horsegram,pulse,15.0,33.0,29.0,30.6,42.0,5.96,72.8,loamy,kharif,irrigated,Odisha
soybean,oilseed,29.0,75.0,64.0,28.6,59.3,6.74,56.6,alluvial,kharif,rainfed,Madhya Pradesh
coffee,plantation,73.0,20.0,47.0,24.4,64.9,7.13,115.1,loamy,kharif,irrigated,Andhra Pradesh
papaya,horticulture,66.0,31.0,79.0,31.8,84.5,6.22,116.5,alluvial,kharif,irrigated,Tamil Nadu
cabbage,vegetable,112.0,64.0,85.0,13.0,65.9,7.19,117.5,alluvial,rabi,rainfed,West Bengal
pigeonpeas,pulse,37.0,52.0,41.0,33.4,47.5,6.42,57.0,loamy,kharif,rainfed,Maharashtra
cauliflower,vegetable,82.0,59.0,81.0,23.2,77.1,6.59,150.8,alluvial,rabi,rainfed,Maharashtra
cocoa,plantation,41.0,26.0,34.0,33.5,72.8,6.21,180.9,alluvial,kharif,irrigated,Andhra Pradesh
barley,cereal,70.0,41.0,31.0,21.0,57.5,6.65,63.7,alluvial,rabi,rainfed,Madhya Pradesh
ginger,spice,37.0,52.0,86.0,32.1,81.4,7.38,152.8,alluvial,kharif,irrigated,Kerala
ragi,millet,83.0,48.0,37.0,17.2,83.2,6.94,55.5,laterite,kharif,irrigated,Odisha
cardamom,spice,29.0,18.0,65.0,25.5,79.6,6.92,244.9,loamy,kharif,irrigated,Karnataka
wheat,cereal,150.0,50.0,43.0,20.6,74.7,6.08,66.7,loamy,rabi,rainfed,Punjab
maize,cereal,74.0,30.0,65.0,24.7,57.3,5.57,108.1,alluvial,rabi,rainfed,Andhra Pradesh
guava,horticulture,28.0,27.0,51.0,31.2,65.7,7.45,159.7,sandy,kharif,rainfed,Karnataka
mothbeans,pulse,22.0,26.0,27.0,31.3,41.3,8.03,53.6,sandy,kharif,irrigated,Gujarat
jute,cash,91.0,37.0,60.0,33.5,69.5,7.1,146.4,alluvial,kharif,irrigated,Meghalaya
castor,oilseed,63.0,40.0,52.0,38.6,50.6,8.12,89.6,sandy,kharif,rainfed,Gujarat
castor,oilseed,37.0,34.0,57.0,30.2,48.5,6.23,83.5,loamy,kharif,rainfed,Gujarat
pepper,spice,36.0,19.0,97.0,27.1,101.8,6.61,234.7,red,kharif,rainfed,Andhra Pradesh
turmeric,spice,84.0,53.0,65.0,34.2,91.6,6.82,123.9,alluvial,kharif,irrigated,Telangana
cabbage,vegetable,110.0,60.0,77.0,12.9,69.7,7.41,121.5,alluvial,rabi,rainfed,Bihar
ginger,spice,62.0,41.0,83.0,19.9,87.7,7.43,108.8,loamy,kharif,rainfed,Kerala
groundnut,cash,17.0,58.0,60.0,35.5,69.1,6.83,60.1,loamy,rabi,rainfed,Karnataka
barley,cereal,63.0,60.0,37.0,12.7,56.8,6.75,66.8,loamy,rabi,irrigated,Haryana
cabbage,vegetable,84.0,52.0,66.0,14.2,86.2,7.06,92.5,loamy,rabi,rainfed,Odisha
coconut,plantation,42.0,12.0,82.0,30.7,73.7,5.82,261.9,alluvial,kharif,rainfed,Andhra Pradesh
sapota,horticulture,43.0,25.0,36.0,32.6,74.3,7.94,147.8,loamy,kharif,irrigated,Maharashtra
apple,horticulture,42.0,25.0,34.0,15.9,68.0,6.59,130.0,alluvial,rabi,rainfed,Jammu & Kashmir
tobacco,cash,39.0,51.0,35.0,32.9,54.2,6.05,61.9,loamy,rabi,irrigated,Bihar
coffee,plantation,53.0,25.0,63.0,22.0,71.2,7.27,159.6,red,kharif,irrigated,Karnataka
tomato,vegetable,76.0,60.0,51.0,17.0,75.2,6.89,85.9,alluvial,kharif,rainfed,Andhra Pradesh
turmeric,spice,85.0,50.0,82.0,21.8,91.7,5.15,163.0,red,kharif,irrigated,Karnataka
cabbage,vegetable,84.0,73.0,50.0,15.5,87.5,6.87,101.4,alluvial,rabi,irrigated,Assam
pepper,spice,41.0,20.0,83.0,22.1,75.7,6.72,223.7,laterite,kharif,rainfed,Assam
blackgram,pulse,29.0,34.0,21.0,28.4,90.1,6.18,93.1,red,kharif,rainfed,Andhra Pradesh
apple,horticulture,33.0,22.0,41.0,11.9,85.0,6.25,204.9,alluvial,rabi,rainfed,Jammu & Kashmir
sesame,oilseed,32.0,30.0,30.0,27.2,48.8,7.29,84.0,sandy,kharif,rainfed,Gujarat
okra,vegetable,32.0,39.0,37.0,28.9,65.9,6.13,69.9,alluvial,kharif,rainfed,Bihar
cotton,cash,64.0,56.0,37.0,31.7,69.0,7.2,122.7,alluvial,kharif,rainfed,Gujarat
jasmine,flower,63.0,29.0,62.0,24.6,85.1,6.58,110.6,loamy,kharif,rainfed,Tamil Nadu
pigeonpeas,pulse,40.0,58.0,28.0,18.0,65.5,6.31,68.5,loamy,kharif,rainfed,Maharashtra
pepper,spice,52.0,33.0,61.0,27.6,78.8,6.66,351.7,loamy,kharif,irrigated,Tamil Nadu
chilli,spice,59.0,67.0,67.0,29.4,56.9,6.61,96.6,black,rabi,rainfed,Tamil Nadu
rice,cereal,140.0,36.0,58.0,27.3,74.4,6.69,180.3,loamy,kharif,rainfed,Odisha
orange,horticulture,33.0,29.0,31.0,14.5,61.3,6.93,136.1,loamy,rabi,irrigated,Assam
sesame,oilseed,32.0,48.0,26.0,23.2,67.5,5.77,53.0,red,kharif,rainfed,Andhra Pradesh
sugarcane,cash,98.0,80.0,107.0,29.3,68.2,6.27,153.3,loamy,kharif,rainfed,Tamil Nadu
horsegram,pulse,30.0,31.0,18.0,19.6,64.8,6.53,84.0,loamy,rabi,rainfed,Tamil Nadu
brinjal,vegetable,67.0,33.0,69.0,20.3,59.8,7.44,67.8,alluvial,rabi,rainfed,Andhra Pradesh
pepper,spice,47.0,30.0,79.0,21.8,99.2,5.58,317.1,loamy,kharif,rainfed,Karnataka
banana,horticulture,104.0,64.0,92.0,35.8,91.3,7.05,186.9,loamy,kharif,irrigated,Tamil Nadu
rose,flower,47.0,42.0,58.0,15.8,65.3,6.18,154.2,alluvial,rabi,rainfed,Maharashtra
cabbage,vegetable,86.0,68.0,84.0,18.3,63.6,6.04,113.4,clay,rabi,rainfed,Bihar
arecanut,plantation,22.0,26.0,82.0,28.7,66.3,6.07,171.7,loamy,kharif,rainfed,Karnataka
barley,cereal,72.0,40.0,47.0,19.7,52.2,6.83,60.2,sandy,rabi,rainfed,Uttar Pradesh
sapota,horticulture,27.0,21.0,28.0,32.2,80.3,7.23,213.3,laterite,kharif,irrigated,Tamil Nadu
greengram,pulse,15.0,28.0,40.0,28.3,60.1,7.24,102.4,alluvial,zaid,irrigated,Andhra Pradesh
jute,cash,94.0,42.0,39.0,23.4,84.2,6.63,180.3,alluvial,kharif,irrigated,Meghalaya
soybean,oilseed,43.0,90.0,74.0,19.0,74.6,6.8,58.4,loamy,kharif,rainfed,Maharashtra
tea,plantation,28.0,25.0,30.0,22.2,81.4,5.29,154.5,laterite,kharif,rainfed,Tamil Nadu
banana,horticulture,117.0,72.0,112.0,22.1,72.4,6.49,136.9,red,kharif,irrigated,Tamil Nadu
pigeonpeas,pulse,19.0,42.0,52.0,28.7,71.6,6.78,117.0,loamy,kharif,rainfed,Madhya Pradesh
tomato,vegetable,68.0,53.0,75.0,22.2,61.8,6.78,124.1,alluvial,rabi,rainfed,Madhya Pradesh
turmeric,spice,83.0,61.0,98.0,30.2,83.2,6.59,212.1,red,kharif,rainfed,Odisha
ginger,spice,52.0,43.0,49.0,22.3,88.5,7.09,177.6,loamy,kharif,irrigated,Meghalaya
horsegram,pulse,11.0,26.0,28.0,32.1,58.0,5.65,48.7,loamy,kharif,rainfed,Andhra Pradesh
jowar,millet,37.0,36.0,49.0,37.6,43.3,6.26,41.8,black,kharif,rainfed,Rajasthan
maize,cereal,98.0,29.0,41.0,32.3,61.0,5.99,89.2,loamy,kharif,rainfed,Rajasthan
tobacco,cash,45.0,31.0,61.0,28.8,52.0,7.03,92.2,alluvial,rabi,irrigated,Karnataka
sugarcane,cash,129.0,71.0,77.0,30.6,95.0,7.75,165.7,loamy,kharif,rainfed,Karnataka
soybean,oilseed,41.0,96.0,58.0,32.3,56.5,6.25,128.0,alluvial,kharif,rainfed,Uttar Pradesh
coriander,spice,46.0,35.0,39.0,14.3,59.4,7.19,55.8,sandy,rabi,rainfed,Karnataka
kidneybeans,pulse,38.0,48.0,30.0,26.8,59.6,6.52,95.8,loamy,kharif,rainfed,Himachal Pradesh
jute,cash,89.0,39.0,47.0,35.5,85.1,7.35,141.1,loamy,kharif,irrigated,Assam
mango,horticulture,27.0,27.0,64.0,30.7,46.4,7.4,214.1,loamy,kharif,irrigated,Karnataka
arecanut,plantation,33.0,32.0,100.0,31.8,81.0,6.13,188.1,loamy,kharif,irrigated,Karnataka
coconut,plantation,37.0,15.0,54.0,26.4,93.9,6.07,310.0,alluvial,kharif,irrigated,West Bengal
potato,vegetable,118.0,76.0,110.0,11.9,89.7,6.4,86.2,sandy,rabi,rainfed,Punjab
barley,cereal,104.0,57.0,43.0,11.4,61.4,7.69,60.4,alluvial,rabi,irrigated,Rajasthan
okra,vegetable,36.0,31.0,42.0,33.7,69.3,6.26,119.7,loamy,kharif,rainfed,Bihar
rose,flower,38.0,70.0,38.0,25.0,63.4,5.55,146.2,alluvial,rabi,irrigated,Karnataka
jasmine,flower,54.0,62.0,64.0,23.0,66.0,7.24,144.2,alluvial,kharif,irrigated,Tamil Nadu
jowar,millet,47.0,36.0,37.0,34.6,54.4,6.1,68.0,loamy,rabi,irrigated,Andhra Pradesh
mustard,oilseed,77.0,37.0,52.0,20.3,70.5,6.11,55.5,alluvial,rabi,irrigated,Madhya Pradesh
soybean,oilseed,45.0,56.0,67.0,27.3,80.9,6.71,91.3,black,kharif,irrigated,Madhya Pradesh
jute,cash,58.0,52.0,52.0,36.8,90.8,6.01,146.7,alluvial,kharif,rainfed,Bihar
bajra,millet,28.0,18.0,49.0,37.1,38.8,6.99,62.1,sandy,kharif,irrigated,Haryana
wheat,cereal,121.0,72.0,51.0,20.4,54.6,7.43,75.9,black,rabi,rainfed,Haryana
watermelon,horticulture,52.0,51.0,58.0,26.5,57.8,7.03,48.3,loamy,kharif,rainfed,Karnataka
soybean,oilseed,32.0,85.0,40.0,31.0,64.0,6.66,99.9,loamy,kharif,irrigated,Maharashtra
chilli,spice,55.0,73.0,47.0,31.0,53.1,6.7,117.6,black,kharif,rainfed,Andhra Pradesh
jute,cash,62.0,46.0,49.0,34.4,86.3,7.1,267.0,alluvial,kharif,rainfed,Bihar
wheat,cereal,112.0,83.0,51.0,11.4,71.2,6.68,101.7,loamy,rabi,rainfed,Haryana
pigeonpeas,pulse,38.0,46.0,50.0,30.6,76.7,6.05,102.4,loamy,kharif,rainfed,Maharashtra
cashew,plantation,13.0,30.0,11.0,26.1,70.9,6.15,133.2,sandy,kharif,irrigated,Goa
horsegram,pulse,15.0,35.0,27.0,29.0,41.6,6.64,50.1,loamy,rabi,rainfed,Odisha
maize,cereal,76.0,34.0,49.0,21.7,69.7,6.47,78.1,alluvial,kharif,rainfed,Bihar
blackgram,pulse,22.0,41.0,42.0,35.3,84.2,7.27,91.4,alluvial,rabi,irrigated,Maharashtra
cowpea,pulse,17.0,30.0,28.0,25.2,65.7,5.54,75.9,red,kharif,rainfed,Tamil Nadu
chickpea,pulse,40.0,43.0,43.0,22.9,53.5,7.07,80.8,black,rabi,rainfed,Karnataka
muskmelon,horticulture,37.0,30.0,42.0,29.6,60.1,6.63,76.5,sandy,zaid,irrigated,Karnataka
soybean,oilseed,38.0,62.0,68.0,23.1,56.7,6.92,95.0,loamy,kharif,rainfed,Maharashtra
rose,flower,52.0,45.0,50.0,16.2,74.7,6.21,91.5,loamy,rabi,irrigated,Maharashtra
rubber,plantation,34.0,15.0,19.0,25.0,93.2,6.18,221.9,loamy,kharif,rainfed,Karnataka
rice,cereal,88.0,30.0,63.0,27.7,91.4,6.1,151.8,clay,kharif,rainfed,Odisha
rose,flower,58.0,54.0,56.0,18.2,59.2,6.08,112.0,alluvial,rabi,rainfed,Maharashtra
rice,cereal,75.0,62.0,60.0,34.5,74.5,5.59,301.3,alluvial,kharif,irrigated,Uttar Pradesh
soybean,oilseed,33.0,90.0,64.0,26.9,70.1,7.18,65.1,loamy,kharif,irrigated,Uttar Pradesh
cardamom,spice,19.0,26.0,44.0,16.6,91.0,6.39,244.0,laterite,kharif,irrigated,Arunachal Pradesh
jasmine,flower,43.0,29.0,64.0,19.8,55.4,6.99,97.7,sandy,kharif,rainfed,Karnataka
cowpea,pulse,19.0,38.0,24.0,29.3,73.6,6.46,87.7,sandy,zaid,rainfed,Karnataka
coffee,plantation,69.0,28.0,51.0,25.4,67.3,6.84,159.9,laterite,kharif,rainfed,Kerala
pineapple,horticulture,46.0,33.0,42.0,21.4,83.4,5.39,162.1,loamy,kharif,irrigated,Assam
chickpea,pulse,23.0,70.0,42.0,17.8,66.5,7.14,83.2,alluvial,rabi,irrigated,Madhya Pradesh
barley,cereal,72.0,38.0,39.0,14.4,48.2,7.18,84.0,loamy,rabi,rainfed,Haryana
coffee,plantation,59.0,36.0,61.0,18.6,74.6,6.89,150.4,laterite,kharif,irrigated,Andhra Pradesh
horsegram,pulse,15.0,42.0,25.0,31.2,37.1,7.08,63.7,red,kharif,rainfed,Tamil Nadu
lentil,pulse,14.0,56.0,31.0,25.3,61.5,7.3,49.5,black,rabi,rainfed,Bihar
marigold,flower,42.0,64.0,64.0,21.1,64.4,6.4,92.8,loamy,rabi,rainfed,Andhra Pradesh
